Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
67.5	27.7222	16.5	-1.2065e-07 2.26373e-08	9.70636e-06 2.98078e-06	3.804e-10 8.27745e-09	-2.03325e-08 4.75716e-09	-2.09221e-10 8.2303e-11	-6.45975e-11 1.42642e-11	
68.5	26.01	15.5	-8.81593e-08 1.94826e-08	6.30487e-06 2.62937e-06	-3.97828e-08 1.70251e-08	-2.42888e-08 4.72165e-09	-2.85582e-10 1.78236e-10	-9.23255e-11 2.51156e-11	
69.5	24.5199	14.5	-1.46796e-07 5.24892e-08	1.05354e-06 2.11091e-06	-2.29089e-08 8.35056e-09	-2.32443e-08 4.17204e-09	-1.04711e-10 2.93186e-11	-5.72792e-11 1.54185e-11	
70.5	22.489	13.5	-5.39454e-08 1.3691e-08	5.89441e-06 2.2249e-06	-2.88299e-08 9.44727e-09	-1.70909e-08 3.3545e-09	-5.58825e-11 2.46699e-11	-5.52648e-11 1.24424e-11	
71.5	20.8155	13	-7.8601e-08 1.65587e-08	3.49445e-06 2.13643e-06	-3.11965e-08 9.04105e-09	-1.49414e-08 2.01668e-09	-1.36036e-10 2.62157e-11	-3.02164e-11 6.14157e-12	
72.5	19.036	12.5	-5.79456e-08 1.13303e-08	-2.99944e-08 1.51749e-06	-1.93456e-08 9.1519e-09	-1.06945e-08 2.61509e-09	-1.27945e-10 3.34089e-11	-2.33503e-11 8.67265e-12	
73.5	17.9211	11.5	-4.7323e-08 9.17492e-09	-1.37784e-06 1.28646e-06	-2.51713e-08 7.43873e-09	-1.51275e-08 3.33193e-09	-1.25716e-10 2.44097e-11	-2.47981e-11 6.68599e-12	
74.5	16.616	10.5	-1.57814e-07 7.50731e-08	1.27004e-06 2.15631e-06	-5.44651e-09 8.38474e-09	-9.12345e-09 3.48239e-09	-3.43312e-11 2.1243e-11	-2.38835e-11 1.66913e-11	
75.5	14.9758	10	-6.71607e-08 1.94551e-08	3.04278e-06 4.78763e-06	1.60077e-09 6.46962e-09	-9.86551e-09 3.97436e-09	-2.63504e-10 1.16179e-10	-5.66183e-11 4.94193e-11	
76.5	14.3061	9.5	-2.06328e-08 1.42714e-08	-4.30352e-06 1.80211e-06	-1.21225e-08 5.46612e-09	-6.071e-09 3.19191e-09	-1.06483e-10 4.96972e-11	-5.01815e-12 2.55833e-12	
77.5	12.608	8.5	-2.87447e-08 1.53633e-08	4.01585e-08 2.76922e-06	-1.23747e-09 3.53808e-09	-7.65105e-09 2.6109e-09	-1.29859e-10 9.08242e-11	-4.99337e-12 1.92705e-12	
78.5	11.9651	8	-8.37469e-08 5.67361e-08	-6.42974e-06 1.86728e-06	-1.21356e-08 4.9858e-09	-1.01875e-08 5.2177e-09	-3.23415e-11 1.1942e-11	-8.19691e-12 5.73786e-12	
79.5	10.6179	7.5	-5.73729e-08 1.62085e-08	-5.8408e-06 2.12305e-06	-4.1425e-09 2.49811e-09	-4.3625e-09 1.65096e-09	-6.16417e-12 4.95675e-12	-1.69653e-12 7.39798e-13	
80.5	9.52395	7	-2.58274e-08 9.84414e-09	-5.78991e-06 1.83372e-06	-1.14731e-08 6.5802e-09	-5.81392e-09 2.50363e-09	-1.07259e-11 4.69668e-12	-3.04064e-12 1.5406e-12	
81.5	8.80245	6.5	-2.91825e-08 8.41369e-09	-3.70263e-06 1.1166e-06	-6.54238e-09 1.9504e-09	-3.03613e-09 1.24891e-09	-1.69136e-11 6.94283e-12	-1.43319e-12 6.35707e-13	
