Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
70.5	11.2014	17.5	-1.72351e-08 5.0229e-09	1.9085e-06 7.75588e-07	-4.32366e-09 1.55936e-09	-1.95631e-09 3.75144e-10	-9.05558e-12 3.3661e-12	-6.54283e-13 1.67492e-13	
71.5	10.3582	16.5	-3.05205e-08 8.60901e-09	-2.52778e-07 6.49837e-07	-5.32823e-09 1.38548e-09	-1.70376e-09 4.11258e-10	-7.7109e-12 2.86167e-12	-9.46643e-13 3.16706e-13	
72.5	9.45825	15.5	-2.08203e-08 8.61439e-09	1.4265e-07 6.00046e-07	-4.9185e-09 1.30982e-09	-1.48042e-09 2.56868e-10	-1.0684e-11 3.69014e-12	-8.54882e-13 1.73689e-13	
73.5	8.67306	14.5	-2.28118e-08 6.03625e-09	2.35602e-08 4.34386e-07	-2.99811e-09 6.65359e-10	-1.2463e-09 2.25387e-10	-9.4895e-12 5.05689e-12	-7.28286e-13 2.01787e-13	
74.5	7.90895	13.5	-2.41592e-08 5.84093e-09	-3.86566e-07 4.22491e-07	-2.60067e-09 7.21962e-10	-9.63613e-10 1.78706e-10	-3.54922e-12 1.00419e-12	-3.93147e-13 8.86316e-14	
75.5	7.21476	12.5	-2.04767e-08 5.98227e-09	-8.04227e-07 3.76206e-07	-2.298e-09 5.19732e-10	-8.01259e-10 1.81231e-10	-1.58833e-12 6.38658e-13	-3.87103e-13 1.74227e-13	
76.5	6.57323	11.5	-1.81615e-08 5.16796e-09	-8.36928e-07 3.38443e-07	-2.38195e-09 3.88458e-10	-5.38584e-10 8.13599e-11	-3.47611e-12 2.28395e-12	-3.69551e-13 9.18515e-14	
77.5	5.95007	10.5	-1.65919e-08 6.81111e-09	-1.18603e-06 2.67116e-07	-1.67054e-09 3.23614e-10	-4.26424e-10 1.02542e-10	-1.12345e-12 3.016e-13	-3.10422e-13 7.11844e-14	
78.5	5.38058	9.5	-2.29466e-08 7.86312e-09	-1.32045e-06 2.38551e-07	-1.1087e-09 2.30355e-10	-1.47364e-10 2.99893e-11	-1.94563e-12 1.20242e-12	-1.84903e-13 5.85731e-14	
79.5	4.89626	9	-1.42848e-08 3.51744e-09	-1.22733e-06 1.94292e-07	-1.02229e-09 1.52021e-10	-9.82958e-11 2.07405e-11	-6.96601e-13 5.17905e-13	-1.22256e-13 4.02944e-14	
80.5	4.42096	8.5	-1.03055e-08 3.73297e-09	-1.05494e-06 1.29797e-07	-7.70315e-10 1.09554e-10	-4.63863e-11 1.01001e-11	-5.10108e-13 2.32774e-13	-1.34034e-13 3.51136e-14	
81.5	3.94546	7.5	-7.09327e-09 1.69673e-09	-9.22104e-07 1.2616e-07	-4.95688e-10 7.76046e-11	-2.36259e-11 5.27213e-12	-2.12547e-13 6.87093e-14	-6.14869e-14 1.13711e-14	
82.5	3.58676	7	-5.3466e-09 1.07526e-09	-6.64422e-07 1.05813e-07	-3.60024e-10 5.57972e-11	-5.98632e-12 1.62138e-12	-6.32371e-14 1.85421e-14	-4.31264e-14 9.67969e-15	
83.5	3.18999	6.5	-5.97179e-09 1.0363e-09	-5.58563e-07 6.13744e-08	-2.00674e-10 3.75526e-11	-2.65735e-12 8.43678e-13	-4.14494e-14 1.99496e-14	-2.74522e-14 4.86704e-15	
84.5	2.84187	6	-2.64257e-09 5.0062e-10	-4.87431e-07 6.14266e-08	-8.79757e-11 1.80556e-11	-9.89089e-13 2.60965e-13	-6.22222e-15 1.3885e-15	-1.70995e-14 2.69188e-15	
85.5	2.5191	5.5	-2.11348e-09 3.65315e-10	-3.52781e-07 4.24267e-08	-3.98976e-11 6.40951e-12	-4.25211e-13 1.67607e-13	-4.81946e-15 1.55749e-15	-1.12832e-14 2.59913e-15	
86.5	2.21848	5	-7.42365e-10 1.28033e-10	-2.74791e-07 3.06776e-08	-2.04544e-11 3.26511e-12	-2.00535e-13 6.86112e-14	-1.87933e-15 3.77627e-16	-6.77487e-15 1.55825e-15	
87.5	1.94866	4.5	-3.87659e-10 7.34273e-11	-1.51088e-07 2.05286e-08	-1.23018e-11 1.86861e-12	-8.84639e-15 1.76314e-15	-1.10942e-15 1.76165e-16	-1.28735e-15 2.96966e-16	
88.5	1.69084	4	-1.51068e-10 2.00053e-11	-1.07314e-07 1.45105e-08	-3.60873e-12 6.21409e-13	-3.14171e-15 4.67458e-16	-4.18895e-16 5.64402e-17	-3.79618e-16 8.18908e-17	
89.5	1.46869	4	-4.80372e-11 6.15316e-12	-1.1057e-07 1.08826e-08	-1.18834e-12 2.30498e-13	-1.90031e-15 2.33711e-16	-3.40442e-16 4.55936e-17	-1.83938e-16 4.24592e-17	
90.5	1.25875	3.5	-1.45038e-11 2.06789e-12	-7.15875e-08 8.23453e-09	-2.35306e-13 3.78914e-14	-1.75092e-15 2.48e-16	-2.1167e-16 2.86759e-17	-9.01978e-17 1.39864e-17	
91.5	1.06056	3	-2.99184e-12 4.79827e-13	-3.35653e-08 3.99333e-09	-3.50646e-14 6.4247e-15	-1.53251e-15 2.31701e-16	-1.03999e-16 2.11318e-17	-4.47917e-17 8.34721e-18	
92.5	0.877042	2.5	-5.08281e-13 1.16239e-13	-1.61272e-08 1.8173e-09	-1.05016e-14 2.76145e-15	-1.33404e-15 3.08952e-16	-3.80862e-17 6.18445e-18	-2.20841e-17 6.56418e-18	
93.5	0.715522	2	-3.3031e-14 6.81356e-15	-7.87991e-09 1.16681e-09	-8.12097e-15 2.96357e-15	-1.23196e-15 3.38126e-16	-8.70265e-18 2.02999e-18	-3.13042e-17 1.30935e-17	
94.5	0.55671	2	-3.57267e-14 1.07897e-14	-2.01073e-09 3.20334e-10	-7.93483e-15 1.3445e-15	-8.94666e-16 2.56687e-16	-9.65282e-18 2.605e-18	-4.48824e-18 2.00382e-18	
95.5	0.40909	2	-1.11379e-13 6.02639e-14	-4.1354e-10 6.6523e-11	-4.71096e-15 8.91466e-16	-3.08533e-16 9.79845e-17	-1.40418e-17 3.36868e-18	-4.50836e-19 1.33215e-19	
96.5	0.279757	2	-2.84357e-14 1.31015e-14	-2.58294e-11 5.45569e-12	-9.59446e-16 2.1567e-16	-5.81767e-17 2.3137e-17	-1.77839e-18 7.80507e-19	-3.36258e-19 1.37513e-19	
97.5	0.160607	2	-5.71852e-15 2.22254e-15	-2.56067e-13 1.1517e-13	-1.40889e-18 6.71198e-19	-2.17655e-19 1.10966e-19	-1.19647e-20 1.00643e-20	-2.82666e-23 6.75251e-22	
98.5	0.0538206	2	-1.03826e-14 7.53051e-15	-2.183e-18 1.07639e-18	-8.61366e-21 2.99079e-21	-3.58978e-21 1.41196e-21	-1.9983e-22 9.89658e-23	-2.59322e-22 9.3805e-23	
99.5	nan	0	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
